CIVIC_CENTRE,STILLBIRTH_LICENSES,TIME_PERIOD
ET,24,2011-01-01
ET,12,2011-02-01
ET,17,2011-03-01
ET,38,2011-04-01
ET,20,2011-05-01
ET,2,2011-06-01
ET,116,2011-08-01
ET,144,2011-09-01
ET,65,2011-10-01
ET,107,2011-11-01
ET,42,2011-12-01
ET,57,2012-01-01
ET,111,2012-02-01
ET,69,2012-03-01
ET,49,2012-04-01
ET,89,2012-05-01
ET,63,2012-06-01
ET,47,2012-07-01
ET,37,2012-08-01
ET,114,2012-09-01
ET,75,2012-10-01
ET,39,2012-11-01
ET,31,2012-12-01
ET,54,2013-01-01
ET,130,2013-02-01
ET,65,2013-03-01
ET,54,2013-04-01
ET,57,2013-05-01
ET,32,2013-06-01
ET,35,2013-07-01
ET,48,2013-08-01
ET,96,2013-09-01
ET,164,2013-10-01
ET,50,2013-11-01
ET,16,2013-12-01
ET,69,2014-01-01
ET,32,2014-02-01
ET,102,2014-03-01
ET,39,2014-04-01
ET,51,2014-05-01
ET,101,2014-06-01
ET,48,2014-07-01
ET,61,2014-08-01
ET,68,2014-09-01
ET,45,2014-10-01
ET,72,2014-11-01
ET,15,2014-12-01
ET,88,2015-01-01
ET,38,2015-02-01
ET,60,2015-03-01
ET,92,2015-04-01
ET,54,2015-05-01
ET,18,2015-06-01
ET,15,2015-07-01
ET,60,2015-08-01
ET,59,2015-09-01
ET,97,2015-10-01
ET,67,2015-11-01
ET,60,2015-12-01
ET,88,2016-01-01
ET,9,2016-02-01
ET,86,2016-03-01
ET,47,2016-04-01
ET,35,2016-05-01
ET,59,2016-06-01
ET,7,2016-07-01
ET,170,2016-09-01
ET,30,2016-10-01
ET,66,2016-11-01
ET,61,2016-12-01
ET,61,2017-01-01
ET,38,2017-02-01
ET,74,2017-03-01
ET,48,2017-04-01
ET,30,2017-05-01
ET,44,2017-06-01
ET,11,2017-07-01
ET,19,2017-08-01
ET,43,2017-09-01
ET,158,2017-10-01
ET,79,2017-11-01
ET,27,2017-12-01
ET,27,2018-01-01
ET,37,2018-02-01
ET,110,2018-03-01
ET,25,2018-04-01
ET,39,2018-05-01
ET,93,2018-06-01
ET,52,2018-07-01
ET,6,2018-08-01
ET,70,2018-09-01
ET,15,2018-10-01
ET,164,2018-11-01
ET,65,2019-01-01
ET,108,2019-03-01
ET,45,2019-04-01
ET,45,2019-05-01
ET,30,2019-06-01
ET,75,2019-07-01
ET,42,2019-08-01
ET,90,2019-09-01
ET,140,2019-11-01
ET,25,2019-12-01
ET,70,2020-01-01
ET,75,2020-02-01
ET,10,2020-03-01
ET,50,2020-05-01
ET,70,2020-06-01
NY,20,2020-08-01
ET,99,2020-09-01
NY,55,2020-09-01
SC,2,2020-09-01
TO,9,2020-09-01
ET,59,2020-10-01
ET,68,2020-11-01
ET,40,2021-01-01
ET,21,2021-02-01
ET,134,2021-03-01
ET,45,2021-04-01
ET,48,2021-05-01
ET,66,2021-06-01
ET,65,2021-08-01
ET,40,2021-10-01
ET,95,2021-11-01
ET,54,2022-01-01
ET,147,2022-02-01
ET,22,2022-03-01
ET,52,2022-04-01
ET,1,2022-05-01
ET,75,2022-06-01
NY,20,2022-08-01
NY,20,2022-11-01
NY,30,2023-01-01
NY,40,2023-02-01
NY,533,2023-03-01
NY,105,2023-08-01
NY,50,2023-09-01
NY,1,2023-10-01
NY,128,2024-02-01
NY,222,2024-03-01
NY,72,2024-04-01
NY,81,2024-05-01
NY,107,2024-07-01
