X_id,CIVIC_CENTRE,STILLBIRTH_LICENSES,TIME_PERIOD
4177,ET,24,2011-01
4178,ET,12,2011-02
4179,ET,17,2011-03
4180,ET,38,2011-04
4181,ET,20,2011-05
4182,ET,2,2011-06
4183,ET,116,2011-08
4184,ET,144,2011-09
4185,ET,65,2011-10
4186,ET,107,2011-11
4187,ET,42,2011-12
4188,ET,57,2012-01
4189,ET,111,2012-02
4190,ET,69,2012-03
4191,ET,49,2012-04
4192,ET,89,2012-05
4193,ET,63,2012-06
4194,ET,47,2012-07
4195,ET,37,2012-08
4196,ET,114,2012-09
4197,ET,75,2012-10
4198,ET,39,2012-11
4199,ET,31,2012-12
4200,ET,54,2013-01
4201,ET,130,2013-02
4202,ET,65,2013-03
4203,ET,54,2013-04
4204,ET,57,2013-05
4205,ET,32,2013-06
4206,ET,35,2013-07
4207,ET,48,2013-08
4208,ET,96,2013-09
4209,ET,164,2013-10
4210,ET,50,2013-11
4211,ET,16,2013-12
4212,ET,69,2014-01
4213,ET,32,2014-02
4214,ET,102,2014-03
4215,ET,39,2014-04
4216,ET,51,2014-05
4217,ET,101,2014-06
4218,ET,48,2014-07
4219,ET,61,2014-08
4220,ET,68,2014-09
4221,ET,45,2014-10
4222,ET,72,2014-11
4223,ET,15,2014-12
4224,ET,88,2015-01
4225,ET,38,2015-02
4226,ET,60,2015-03
4227,ET,92,2015-04
4228,ET,54,2015-05
4229,ET,18,2015-06
4230,ET,15,2015-07
4231,ET,60,2015-08
4232,ET,59,2015-09
4233,ET,97,2015-10
4234,ET,67,2015-11
4235,ET,60,2015-12
4236,ET,88,2016-01
4237,ET,9,2016-02
4238,ET,86,2016-03
4239,ET,47,2016-04
4240,ET,35,2016-05
4241,ET,59,2016-06
4242,ET,7,2016-07
4243,ET,170,2016-09
4244,ET,30,2016-10
4245,ET,66,2016-11
4246,ET,61,2016-12
4247,ET,61,2017-01
4248,ET,38,2017-02
4249,ET,74,2017-03
4250,ET,48,2017-04
4251,ET,30,2017-05
4252,ET,44,2017-06
4253,ET,11,2017-07
4254,ET,19,2017-08
4255,ET,43,2017-09
4256,ET,158,2017-10
4257,ET,79,2017-11
4258,ET,27,2017-12
4259,ET,27,2018-01
4260,ET,37,2018-02
4261,ET,110,2018-03
4262,ET,25,2018-04
4263,ET,39,2018-05
4264,ET,93,2018-06
4265,ET,52,2018-07
4266,ET,6,2018-08
4267,ET,70,2018-09
4268,ET,15,2018-10
4269,ET,164,2018-11
4270,ET,65,2019-01
4271,ET,108,2019-03
4272,ET,45,2019-04
4273,ET,45,2019-05
4274,ET,30,2019-06
4275,ET,75,2019-07
4276,ET,42,2019-08
4277,ET,90,2019-09
4278,ET,140,2019-11
4279,ET,25,2019-12
4280,ET,70,2020-01
4281,ET,75,2020-02
4282,ET,10,2020-03
4283,ET,50,2020-05
4284,ET,70,2020-06
4285,NY,20,2020-08
4286,ET,99,2020-09
4287,NY,55,2020-09
4288,SC,2,2020-09
4289,TO,9,2020-09
4290,ET,59,2020-10
4291,ET,68,2020-11
4292,ET,40,2021-01
4293,ET,21,2021-02
4294,ET,134,2021-03
4295,ET,45,2021-04
4296,ET,48,2021-05
4297,ET,66,2021-06
4298,ET,65,2021-08
4299,ET,40,2021-10
4300,ET,95,2021-11
4301,ET,54,2022-01
4302,ET,147,2022-02
4303,ET,22,2022-03
4304,ET,52,2022-04
4305,ET,1,2022-05
4306,ET,75,2022-06
4307,NY,20,2022-08
4308,NY,20,2022-11
4309,NY,30,2023-01
4310,NY,40,2023-02
4311,NY,533,2023-03
4312,NY,105,2023-08
4313,NY,50,2023-09
4314,NY,1,2023-10
4315,NY,128,2024-02
4316,NY,222,2024-03
4317,NY,72,2024-04
4318,NY,81,2024-05
4319,NY,107,2024-07
